movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Zokkomon,4/22/11,Adventure,PG,2815,2984
African Cats,4/22/11,Documentary,G,15428747,16401551
Prom,4/29/11,Comedy,PG,10130219,10768946
Pirates of the Caribbean: On Stranger…,5/20/11,Adventure,PG-13,241063875,256263359
Cars 2,6/24/11,Adventure,G,191450875,203522177
Winnie the Pooh,7/15/11,Adventure,G,26692846,28375869
The Help,8/10/11,Drama,PG-13,169705587,180404976
Fright Night,8/19/11,Horror,R,18298649,19452402
Real Steel,10/7/11,Action,PG-13,85463309,90848019
The Muppets,11/23/11,Comedy,PG,88625922,94189503
War Horse,12/25/11,Drama,PG-13,79883359,84762149
The Secret World of Arietty,2/17/12,Adventure,G,19192510,20325733
John Carter,3/9/12,Adventure,PG-13,73058679,77372445
Chimpanzee,4/20/12,Documentary,G,28965459,30675725
The Avengers,5/4/12,Action,PG-13,623279547,660081224
Brave,6/22/12,Adventure,PG,237282182,251292441
People Like Us,6/29/12,Drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,8/15/12,Drama,PG,51853450,54914942
Frankenweenie,10/5/12,Comedy,PG,35287788,37363513
Wreck-It Ralph,11/2/12,Adventure,PG,189412677,200354959
Lincoln,11/9/12,Drama,PG-13,182207973,192122330
Oz the Great and Powerful,3/8/13,Adventure,PG,234770996,243434130
Iron Man 3,5/3/13,Action,PG-13,408992272,424084233
Monsters University,6/21/13,Adventure,G,268488329,278395641
The Lone Ranger,7/2/13,Western,PG-13,89302115,92597388
Disney Planes,8/9/13,Comedy,PG,90282580,93614037
The Fifth Estate,10/18/13,Drama,R,3254172,3374251
Kaze Tachinu,11/8/13,Drama,PG-13,5201879,5367415
Thor: The Dark World,11/8/13,Adventure,PG-13,206362140,213962184
Delivery Man,11/22/13,Comedy,PG-13,30659817,31787136
Frozen,11/22/13,Adventure,PG,400738009,414997174
Saving Mr. Banks,12/13/13,Drama,PG-13,83299761,86249969
Need for Speed,3/14/14,Action,PG-13,43568507,44955015
Muppets Most Wanted,3/21/14,Comedy,PG,51178893,52807594
Captain America: The Winter Soldier,4/4/14,Action,PG-13,259746958,268013076
Bears,4/18/14,Documentary,G,17780194,18346024
Million Dollar Arm,5/10/14,Drama,PG,36447959,37607865
Maleficent,5/30/14,Adventure,PG,241407328,249089809
Planes: Fire and Rescue,7/18/14,Adventure,PG,59157732,61040349
Guardians of the Galaxy,8/1/14,Adventure,PG-13,333172112,343771168
The Hundred-Foot Journey,8/8/14,Romantic Comedy,PG,54235441,55961409
"Alexander and the Terrible, Horrible,…",10/10/14,Comedy,PG,66954149,69055550
Big Hero 6,11/7/14,Adventure,PG,222527828,229249222
Into the Woods,12/25/14,Musical,PG,128002372,130894237
Strange Magic,1/23/15,Adventure,PG,12429583,12429583
"McFarland, USA",2/20/15,Drama,PG,44480275,44480275
Cinderella,3/13/15,Drama,PG,201151353,201151353
Monkey Kingdom,4/17/15,Documentary,G,16432322,16432322
Avengers: Age of Ultron,5/1/15,Action,PG-13,459005868,459005868
Tomorrowland,5/22/15,Adventure,PG,93436322,93436322
Inside Out,6/19/15,Adventure,PG,356461711,356461711
Ant-Man,7/17/15,Action,PG-13,180202163,180202163
Bridge of Spies,10/16/15,Thriller/Suspense,PG-13,72313754,72313754
The Good Dinosaur,11/25/15,Adventure,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,12/18/15,Adventure,PG-13,936662225,936662225
The Finest Hours,1/29/16,Thriller/Suspense,PG,27569558,27569558
Zootopia,3/4/16,Adventure,PG,341268248,341268248
The Jungle Book,4/15/16,Adventure,PG,364001123,364001123
A Beautiful Planet,4/29/16,Documentary,G,7895708,7895708
Captain America: Civil War,5/6/16,Action,PG-13,408084349,408084349
Alice Through the Looking Glass,5/27/16,Adventure,PG,77042381,77042381
Finding Dory,6/17/16,Adventure,PG,486295561,486295561
The BFG,7/1/16,Adventure,PG,55483770,55483770
Pete’s Dragon,8/12/16,Adventure,PG,76233151,76233151
The Light Between Oceans,9/2/16,Drama,PG-13,12545979,12545979
Queen of Katwe,9/23/16,Drama,PG,8874389,8874389
Doctor Strange,11/4/16,Adventure,PG-13,232532923,232532923
Moana,11/23/16,Adventure,PG,246082029,246082029
Rogue One: A Star Wars Story,12/16/16,Adventure,PG-13,529483936,529483936
