movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
The Nightmare Before Christmas,10/13/93,Musical,PG,50408318,100026637
The Three Musketeers,11/12/93,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,12/10/93,Comedy,PG,57319029,116965668
Tombstone,12/25/93,Western,R,56505065,115781734
Cabin Boy,1/7/94,Comedy,PG-13,3469493,7168577
The Air Up There,1/7/94,Comedy,PG,20782439,42940186
Iron Will,1/14/94,Drama,PG,20623071,42610902
Blank Check,2/11/94,Comedy,PG,30573770,63170804
Angie,3/4/94,Comedy,R,9252349,19116981
The Ref,3/9/94,Comedy,R,11325885,23401275
D2: The Mighty Ducks,3/25/94,Comedy,PG,45604206,94226333
White Fang 2: Myth of the White Wolf,4/15/94,Adventure,PG,8752399,18083994
The Inkwell,4/22/94,Comedy,R,8864699,18316030
When a Man Loves a Woman,4/29/94,Drama,R,50021959,103354194
3 Ninjas Kick Back,5/6/94,Action,PG,11744960,24267154
Renaissance Man,6/3/94,Comedy,PG-13,24172899,49945474
The Lion King,6/15/94,Adventure,G,422780140,761640898
I Love Trouble,6/29/94,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,7/15/94,Comedy,PG,50236831,103798152
In the Army Now,8/12/94,Comedy,PG,28881266,59673787
Color of Night,8/19/94,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,8/26/94,Comedy,PG,10442641,21576332
A Simple Twist of Fate,9/2/94,Drama,PG-13,3404935,7035189
Quiz Show,9/14/94,Drama,PG-13,24787282,50840394
Terminal Velocity,9/23/94,Action,PG-13,16478900,34048315
Ed Wood,9/30/94,Comedy,R,5828466,12042634
The Puppet Masters,10/21/94,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,10/28/94,Drama,PG,3319344,6858345
The Santa Clause,11/11/94,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,11/23/94,Action,R,29317886,60321919
The Jungle Book,12/25/94,Adventure,PG,44342956,88930321
Houseguest,1/6/95,Comedy,PG,26325256,51016522
Bad Company,1/20/95,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,1/27/95,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,2/3/95,Comedy,R,7555256,14641561
Heavy Weights,2/17/95,Comedy,PG,17671310,34245779
Roommates,3/3/95,Comedy,PG,12076989,23404369
Man of the House,3/3/95,Comedy,PG,40029009,77573459
Tall Tale,3/24/95,Western,PG,8247627,15983331
A Pyromaniac's Love Story,3/28/95,Romantic Comedy,PG,468240,907414
Funny Bones,3/31/95,Comedy,R,529135,1025425
Jefferson in Paris,3/31/95,Drama,PG-13,2461628,4770461
A Goofy Movie,4/7/95,Comedy,G,35336439,68479579
While You Were Sleeping,4/21/95,Romantic Comedy,PG,81057016,157082900
Crimson Tide,5/12/95,Action,R,91387195,177102077
Mad Love,5/26/95,Drama,PG-13,15446532,29934306
Pocahontas,6/10/95,Adventure,G,141579773,274370957
Judge Dredd,6/30/95,Action,R,34687912,67222776
Operation Dumbo Drop,7/28/95,Adventure,PG,24670346,47809421
A Kid in King Arthur's Court,8/11/95,Adventure,PG,13406717,25981285
Dangerous Minds,8/11/95,Drama,R,84919401,164552293
The Tie That Binds,9/8/95,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,9/15/95,Drama,PG,7929000,15365850
The Big Green,9/29/95,Comedy,PG,17736619,34372339
Dead Presidents,10/4/95,Drama,R,24120194,46741467
Feast of July,10/13/95,Drama,R,293274,568342
The Scarlet Letter,10/13/95,Drama,R,10359006,20075033
Powder,10/27/95,Drama,PG-13,30833914,59727216
Toy Story,11/22/95,Adventure,G,191796233,370409631
Father of the Bride Part II,12/8/95,Comedy,PG,76578911,147658438
Nixon,12/20/95,Drama,R,13668249,26302005
